Date,A,B,C
,-8.110564,-10.886192,22.758738
,-8.221904,-11.011774,22.873054
,-8.333763,-11.135259,22.995123
,-8.446031,-11.256299,23.124919
,-8.558588,-11.374537,23.262395
,-8.671307,-11.489603,23.407485
,-8.78405,-11.601123,23.560101
,-8.896668,-11.708711,23.720129
,-9.009004,-11.811977,23.887435
,-9.120893,-11.910524,24.061854
,-9.232159,-12.003953,24.243195
,-9.342618,-12.091862,24.431241
,-9.452077,-12.173851,24.625741
,-9.560335,-12.249521,24.826418
,-9.667184,-12.318478,25.03296
,-9.772408,-12.380335,25.245026
,-9.875785,-12.434716,25.462241
,-9.977087,-12.481258,25.684199
,-10.07608,-12.51961,25.910462
,-10.172529,-12.549442,26.140561
,-10.266191,-12.570447,26.373994
,-10.356825,-12.582338,26.610233
,-10.444186,-12.584859,26.848718
,-10.528032,-12.577781,27.088866
,-10.608119,-12.560912,27.330066
,-10.684207,-12.534093,27.571688
,-10.756061,-12.497203,27.813082
,-10.82345,-12.450163,28.05358
,-10.886151,-12.392936,28.292503
,-10.943947,-12.325531,28.529162
,-10.996633,-12.248,28.762862
,-11.044013,-12.160444,28.992909
,-11.085907,-12.063011,29.218609
,-11.122144,-11.955897,29.439277
,-11.152572,-11.839345,29.654238
,-11.177054,-11.713646,29.862835
,-11.195471,-11.579135,30.06443
,-11.207723,-11.436193,30.258411
,-11.213729,-11.285241,30.444193
,-11.213428,-11.126741,30.621226
,-11.206783,-10.961191,30.788995
,-11.193775,-10.789121,30.947026
,-11.174409,-10.611092,31.094885
,-11.148713,-10.427691,31.232185
,-11.116736,-10.239524,31.358588
,-11.07855,-10.047217,31.473803
,-11.034248,-9.851405,31.577588
,-10.983946,-9.652735,31.669755
,-10.927779,-9.451852,31.750164
,-10.865903,-9.249406,31.818729
,-10.798494,-9.046037,31.875411
,-10.725746,-8.842376,31.920221
,-10.647868,-8.639041,31.953217
,-10.565085,-8.436633,31.974504
,-10.47764,-8.235729,31.984226
,-10.385783,-8.036885,31.982572
,-10.28978,-7.840629,31.969764
,-10.189904,-7.647459,31.946061
,-10.086439,-7.457843,31.911753
,-9.979672,-7.272216,31.867156
,-9.869898,-7.090976,31.812612
,-9.757413,-6.914491,31.748485
,-9.642518,-6.743091,31.675154
,-9.525513,-6.57707,31.593014
,-9.406695,-6.416687,31.502471
,-9.286363,-6.262169,31.403941
,-9.164808,-6.113706,31.297843
,-9.042321,-5.971456,31.184598
,-8.919183,-5.835546,31.064632
,-8.795671,-5.706074,30.938363
,-8.672054,-5.583106,30.80621
,-8.548591,-5.466686,30.668582
