Date,TA,ST1,H2O,SM1,FN2O
,21.82,18.5,12.9515,19.4,8.69147
,21.66,18.45,12.7188,19.45,8.99562
,20.77,18.4,12.9079,19.5,8.64298
,20.15,18.35,13.267,19.3,8.37093
,19.59,18.3,13.4225,19.1,8.11627
,20.3,18.2,13.0234,19,7.98858
,20.68,18.1,12.9309,18.9,8.3974
,20.07,18.1,13.0251,18.95,8.3598
,20.21,18.1,12.8621,19,9.06851
,19.72,18.05,12.8235,18.95,8.02897
,19.72,18,12.7563,18.9,8.12948
,19.56,18,12.8214,18.5,7.78636
,19.5,18,12.7514,18.1,7.86808
,19.54,17.95,12.641,18.05,8.20206
,19.35,17.9,12.687,18,8.07643
,19.18,17.85,12.8486,18,7.36072
,19.13,17.8,12.7985,18,8.25127
,18.93,17.8,12.7861,18.75,8.03503
,18.86,17.8,12.8087,19.5,8.02422
,19.02,17.8,13.0083,19.35,8.46156
,19.29,17.8,13.1168,19.2,7.82882
,19.36,17.8,13.2324,19.3,8.08114
,19.84,17.8,13.6885,19.4,8.69987
,21.07,17.8,14.4799,19.15,8.40494
,21.04,17.8,14.5625,18.9,9.00937
,21.33,17.85,14.4997,19.05,8.88329
,22.81,17.9,15.3589,19.2,9.5614
,22.49,17.95,15.4866,19.05,10.5865
,23.73,18,15.8666,18.9,10.1046
,21.71,18.1,15.6449,18.9,9.62601
,21.82,18.2,15.3901,18.9,9.66627
,24.46,18.25,16.4593,18.95,10.2248
,24.39,18.3,17.0568,19,10.0146
,24.53,18.4,17.0423,18.9,10.4306
,24.41,18.5,17.1659,18.8,10.3461
,24.56,18.55,17.6825,18.55,10.4418
,24.47,18.6,17.3731,18.3,10.7683
,24.84,18.6,17.9382,18.2,10.4314
,25.01,18.6,18.2653,18.1,11.2354
,25.52,18.7,18.4258,17.95,11.1334
,25.48,18.8,18.5623,17.8,11.2787
,24.79,18.8,18.4138,18.2,11.6431
,24.26,18.8,18.6544,18.6,11.6774
,24.14,18.85,18.6135,18.8,10.5386
,22.8,18.9,19.5769,19,10.9543
,22.46,18.95,19.3906,18.95,11.2702
,21.31,19,19.9883,18.9,11.0985
,20.25,18.95,21.064,18.85,14.5992
,19.75,18.9,21.4795,18.8,13.1753
,19.45,18.9,20.8755,18.75,11.117
,19.35,18.9,20.7402,18.7,11.7589
,19.25,18.85,20.8264,18.65,12.0118
,19.62,18.8,21.0745,18.6,10.3264
,19.57,18.8,21.1005,18.6,10.8589
,19.35,18.8,21.0311,18.6,11.2047
,19.32,18.85,20.9257,19.2,10.6828
,19.04,18.9,20.6933,19.8,10.7799
,18.75,18.9,20.4821,20.1,10.8645
,18.43,18.9,20.2338,20.4,11.1549
,18.29,18.9,20.0781,20.95,10.7913
,18.15,18.9,19.9795,21.5,11.2677
,18.04,18.85,19.9016,21.55,11.4598
,17.9,18.8,19.8624,21.6,11.7211
,17.84,18.8,19.647,21.45,11.9246
,17.59,18.8,19.5223,21.3,11.1728
,17.51,18.8,19.3102,23.55,10.386
,17.26,18.8,19.1824,25.8,8.16852
,17.15,18.8,19.1071,28.85,8.91691
,16.99,18.8,18.9435,31.9,8.91174
,16.66,18.7,18.6755,34.4,7.4734
,16.52,18.6,18.5185,36.9,6.67825
,16.7,18.6,18.6966,35.85,8.51521
,17.3,18.6,19.3623,34.8,10.4765
,17.5,18.6,19.4898,34.1,16.0444
,18.56,18.6,20.3685,33.4,19.8144
,18.28,18.6,20.3429,33.15,20.269
,18.61,18.6,20.4311,32.9,21.585
,19.57,18.6,21.1624,32.45,30.5575
,20.15,18.6,21.8568,32,28.2073
,20.6,18.7,22.0831,31.8,28.1108
,21.6,18.8,22.9375,31.6,27.2042
,22.1,18.85,23.5514,31.5,31.4454
,21.87,18.9,23.3974,31.4,34.8262
,25.33,19,26.3925,31.25,30.7202
,24.34,19.1,26.5319,31.1,42.1987
,24.07,19.2,25.4545,30.95,40.5905
,24.19,19.3,25.8539,30.8,39.7407
,23.28,19.4,24.852,30.75,39.389
,23.59,19.5,24.9363,30.7,46.0575
,23.32,19.55,24.6786,30.8,49.2005
,23.52,19.6,24.4789,30.9,45.6163
,22.53,19.6,24.6445,30.7,43.5975
,21.84,19.6,24.4898,30.5,39.4693
,21.72,19.65,24.0862,30.4,38.4918
,21.73,19.7,24.0525,30.3,35.1022
,21.37,19.7,23.471,30.15,38.3463
,21.25,19.7,23.3545,30,34.5416
,21.17,19.7,23.2497,30,38.7328
,20.96,19.7,23.102,30,37.5903
,20.9,19.7,22.9365,30,38.0928
,21.12,19.7,23.0219,30,38.6552
,21.31,19.75,23.1251,30.15,44.6364
,21.4,19.8,23.1141,30.3,46.0693
,21.32,19.8,22.9846,30.4,41.9731
,21.35,19.8,22.8735,30.5,42.5858
,21.18,19.85,22.8477,30.3,40.9223
,21.27,19.9,22.8271,30.1,42.9735
,21.27,19.9,22.8937,30.45,47.9266
,21.12,19.9,22.7751,30.8,48.6656
,21.21,19.9,22.7931,30.85,56.9186
,21.26,19.9,22.7714,30.9,51.8192
,21.39,19.9,22.7601,31,55.7102
,21.63,19.9,22.7491,31.1,55.4791
,21.76,19.9,22.6549,30.85,52.9109
,21.77,19.9,22.7151,30.6,52.172
,22.07,19.9,22.9229,30.25,50.7825
,22.72,19.9,23.545,29.9,57.0888
,22.95,19.85,24.306,29.85,53.8099
,23.62,19.8,25.0678,29.8,52.404
,24.1,19.85,26.1424,29.8,70.9622
,24.89,19.9,27.0574,29.8,68.3513
,25.8,20,29.2526,29.75,66.9331
,26.04,20.1,28.8957,29.7,64.3052
,26.67,20.2,29.0091,29.6,56.8762
,28.46,20.3,29.7796,29.5,60.1234
,28.8,20.4,30.7673,29.45,87.3151
,29.94,20.5,30.12,29.4,70.2932
,31.33,20.6,32.84,29.3,69.9265
,30.39,20.7,33.8188,29.2,67.1209
,30.31,20.8,32.3424,29.05,75.5851
,30.93,20.9,32.5744,28.9,82.7151
,30.07,20.95,31.9064,28.85,88.5106
,32.84,21,33.5855,28.8,85.7337
,32.68,21.1,32.7601,29.2,93.9032
,30.44,21.2,32.6651,29.6,97.7695
,30.1,21.3,31.6786,29.2,85.2922
,29.57,21.4,30.7561,28.8,82.6146
,29.23,21.45,32.1193,29.1,71.1179
,29.82,21.5,30.4203,29.4,90.2488
,29.72,21.5,29.998,29.65,79.0436
,28.39,21.5,29.4246,29.9,63.6729
,27.8,21.55,28.2155,29.4,85.4678
,27.6,21.6,26.9413,28.9,65.3293
,27.15,21.55,26.6071,28.85,66.5636
,26.75,21.5,25.9447,28.8,75.9964
,26.13,21.5,25.6297,29.15,63.9562
,25.53,21.5,25.2586,29.5,63.5785
,24.99,21.45,25.0825,29.2,57.4122
,24.16,21.4,24.9042,28.9,55.7526
,23.58,21.35,24.7691,29.15,51.4542
,24.26,21.3,24.8919,29.4,54.3877
,24.87,21.3,25.0629,29.3,51.6702
,22.99,21.3,26.2616,29.2,42.7877
,22.5,21.25,26.2217,29.2,47.379
,22.63,21.2,26.2964,29.2,48.6368
,22.53,21.2,26.0714,28.9,49.2073
,22.61,21.2,25.4718,28.6,49.7656
,22.64,21.15,25.6185,29.15,48.8827
,22.51,21.1,25.1038,29.7,55.4246
,21.86,21.1,24.7698,29.65,51.0972
,21.65,21.1,24.7634,29.6,51.1924
,21.54,21.1,24.9646,29.65,47.7397
,21.54,21.1,24.4905,29.7,50.905
,21.59,21.1,24.518,29.6,48.0051
,22.23,21.1,25.1507,29.5,49.1091
,23.44,21.1,26.4635,29.65,47.1447
,23.87,21.1,27.0579,29.8,48.3359
,23.4,21.1,28.0528,29.8,47.9212
,24.65,21.1,28.9218,29.8,46.3542
,25.77,21.15,31.1574,30.2,48.8896
,26.52,21.2,31.4926,30.6,49.5216
,26.79,21.3,31.2862,30.8,51.1934
,27.12,21.4,32.3367,31,49.6906
,28.33,21.45,32.6396,30.75,52.4562
,32.15,21.5,33.8311,30.5,60.8955
,28.22,21.65,36.4313,30.35,54.1476
,29.15,21.8,36.5425,30.2,51.5925
,32.64,21.85,32.7027,30.25,52.1218
,29.33,21.9,33.7056,30.3,59.4096
,33.65,22,32.0095,30.15,57.6967
,31.09,22.1,29.8533,30,58.3623
,32.68,22.15,31.0323,29.8,58.12
,32.91,22.2,29.5042,29.6,58.0375
,34.67,22.3,29.3108,29.6,54.2876
,30.75,22.4,27.7768,29.6,54.4347
,33.16,22.45,27.8904,29.55,55.2613
,32.99,22.5,28.0562,29.5,53.1114
,32.44,22.5,26.0793,29.45,54.3358
,31.71,22.5,26.2758,29.4,51.1821
,30.36,22.5,24.7238,29.1,52.157
,29.01,22.5,24.6058,28.8,49.7418
,27.51,22.45,23.8664,28.35,48.7033
,26.12,22.4,23.2089,27.9,48.1994
,25,22.35,22.3155,27.55,50.2783
,24.61,22.3,21.9381,27.2,45.7066
,23.67,22.2,21.9955,27.1,47.8152
,24.05,22.1,21.897,27,46.5889
,23.56,22.05,22.0968,27.35,45.4961
,23.23,22,22.0961,27.7,42.4823
,22.5,21.95,21.9084,27.6,42.7429
,21.99,21.9,21.832,27.5,42.5853
,21.52,21.8,21.6284,27.2,46.629
,21.08,21.7,21.4074,26.9,44.244
,20.85,21.65,21.4331,27.3,40.9068
,20.96,21.6,21.2487,27.7,39.6016
,20.76,21.55,21.2447,27.5,41.9285
,20.27,21.5,21.0265,27.3,40.36
,19.29,21.45,20.6537,27.35,45.494
,19.15,21.4,20.5632,27.4,40.6165
,19.28,21.3,20.7547,27.25,43.3288
,18.83,21.2,20.6009,27.1,46.5581
,20.88,21.15,21.8642,27.35,43.4302
,21.48,21.1,22.1927,27.6,43.3305
,21.46,21.1,22.092,28.1,43.028
,23.17,21.1,22.8186,28.6,42.6796
,22.51,21.15,22.9737,28.65,41.0085
,23.19,21.2,23.9152,28.7,40.0725
,24.3,21.3,24.0311,28.75,39.9467
,26.5,21.4,25.7088,28.8,45.0133
,27.25,21.5,26.6654,28.75,45.0283
,29.51,21.6,27.4268,28.7,50.6843
,28.33,21.7,24.9788,28.6,50.108
,28.72,21.8,25.9774,28.5,58.8438
,26.65,21.9,25.0136,28.25,50.9594
,24.36,22,25.2297,28,48.0764
,22.73,22,24.76,29.3,46.8247
,19.42,22,21.7244,30.6,31.5554
,20.15,21.95,22.8449,32.05,39.0581
,20.46,21.9,22.945,33.5,41.4419
,22.53,21.85,25.4651,32.9,47.7947
,24.07,21.8,26.9972,32.3,46.978
,22.52,21.85,26.0937,32.15,47.851
,23.07,21.9,26.001,32,47.5962
,24.16,21.95,26.5689,32,48.9193
,25.09,22,27.1538,32,50.8015
,25.78,22,27.8301,31.85,51.4867
,25.6,22,26.967,31.7,51.6315
,25.11,22.05,27.0992,31.6,51.8674
,23.48,22.1,26.1154,31.5,51.9714
,23.26,22.05,26.3892,31.3,52.4155
,22.3,22,25.286,31.1,52.6128
,21.31,21.95,24.4915,31.25,57.39
,20.53,21.9,23.7674,31.4,53.036
,20.69,21.85,23.86,31.45,57.8029
,20.69,21.8,23.9356,31.5,51.4903
,20.9,21.7,24.1124,31.5,48.7159
,20.87,21.6,24.0247,31.5,53.3276
,20.84,21.6,23.9329,31.45,48.8985
,20.75,21.6,23.833,31.4,48.8201
,20.91,21.55,23.9497,31.3,51.9199
,20.97,21.5,23.773,31.2,47.5384
,21.18,21.5,23.8474,31.2,48.4773
,21.53,21.5,24.017,31.2,47.2006
,21.89,21.5,24.4509,31.35,53.3534
,21.97,21.5,24.6192,31.5,53.2045
,21.82,21.5,25.4419,31.2,51.0131
,21.82,21.5,24.8479,30.9,51.5175
,21.8,21.55,24.631,31.05,53.9794
,21.84,21.6,24.7659,31.2,51.3412
,21.88,21.6,24.78,31.4,50.6734
,22.15,21.6,25.212,31.6,51.4466
,22.9,21.6,26.1524,31.6,53.8492
,23.35,21.6,26.8707,31.6,51.5104
,24.09,21.6,28.7512,31.6,51.0486
,24.01,21.6,28.1673,31.6,53.1039
,24.4,21.65,29.6454,31.55,53.067
,24.71,21.7,28.6549,31.5,54.6694
,25.18,21.8,30.727,31.45,56.6444
,28.47,21.9,33.971,31.4,57.4855
,27.12,22,33.75,31.35,62.5779
,27.62,22.1,33.3951,31.3,67.7636
,29.19,22.2,32.8313,30.65,72.3952
,27.83,22.3,30.626,30,69.7265
,28.74,22.4,29.1638,30.65,65.7766
,29.08,22.5,28.2674,31.3,70.2187
,30.71,22.55,28.1383,31.05,71.542
,29.79,22.6,27.6065,30.8,80.0105
,27.24,22.65,27.2219,30.95,57.9735
,22.97,22.7,25.6329,31.1,56.9836
,24.57,22.65,25.2111,31.05,55.9971
,27.18,22.6,26.8313,31,57.1824
,25.92,22.6,24.8126,30.55,58.4951
,26.69,22.6,24.839,30.1,56.1145
,26.33,22.6,24.5016,30.2,51.1654
,25.4,22.6,23.4881,30.3,54.3433
,23.47,22.55,20.2835,29.45,49.7011
,23.01,22.5,19.1666,28.6,43.6726
,22.11,22.4,18.7647,29.1,42.8038
,21.21,22.3,18.5049,29.6,44.1104
,20.53,22.15,18.4783,29.5,43.1736
,19.85,22,18.4785,29.4,43.8543
,19.29,21.9,18.3554,29.15,42.8819
,18.72,21.8,17.9657,28.9,43.0147
,16.42,21.65,17.5437,29,50.1035
,15.49,21.5,16.8146,29.1,51.0415
,15.18,21.3,16.4792,29.1,48.5038
,16.09,21.1,17.0202,29.1,43.0436
,14.69,20.95,16.0594,29.05,49.2357
,14.34,20.8,15.9266,29,43.7024
,14.59,20.65,15.8651,29.15,48.3908
,14.35,20.5,15.8485,29.3,46.021
,13.08,20.3,14.807,29.35,47.2025
,12.97,20.1,14.4874,29.4,46.3344
,13,19.95,14.5143,29.5,47.3203
,13.67,19.8,15.1599,29.6,47.4233
,13.31,19.65,14.7132,29.5,44.6082
,13.57,19.5,15.2311,29.4,44.7726
,14.39,19.45,16.5754,28.9,43.762
,15.8,19.4,18.6958,28.4,42.6914
,16.94,19.4,20.3496,28.6,42.6867
,17.38,19.4,20.5958,28.8,39.3882
,18.1,19.45,20.4098,29.4,39.2656
,19.25,19.5,20.2423,30,37.5353
,20.78,19.65,19.6918,29.9,38.17
,20.96,19.8,18.5583,29.8,41.631
,20.56,19.9,18.6441,29.45,39.6804
,19.31,20,17.7305,29.1,38.5124
,19.85,20.05,19.0006,29,41.5048
,21.32,20.1,19.8595,28.9,43.5416
,25.12,20.2,21.9734,28.75,52.3563
,27.57,20.3,23.2675,28.6,63.517
,29.16,20.45,23.6116,28.75,63.3481
,27.18,20.6,21.1556,28.9,58.899
,27.22,20.75,20.1767,28.7,54.5603
,25.27,20.9,18.5306,28.5,54.7124
,26.18,20.95,19.1263,28.4,53.5827
,28.07,21,19.127,28.3,58.3637
,25.77,21.1,18.0542,28.6,56.3757
,26.18,21.2,18.76,28.9,56.1794
,25.18,21.25,18.0701,29.05,53.0156
,24.66,21.3,17.8643,29.2,51.0263
,23.79,21.3,17.8318,29,50.7942
,23.18,21.3,17.1657,28.8,47.991
,23.05,21.25,17.9234,28.65,48.3829
,22.67,21.2,17.4898,28.5,47.6085
,21.49,21.15,17.0222,28.35,45.5756
,20.79,21.1,16.4727,28.2,45.1518
,20.61,21,16.1217,28.45,43.3084
,20.09,20.9,16.0588,28.7,41.3155
,19.66,20.85,15.9073,28.8,41.5835
,19.96,20.8,16.154,28.9,40.6023
,19.61,20.7,16.5383,28.75,41.0265
,19.4,20.6,16.4529,28.6,40.733
,19.25,20.55,16.1508,28.5,39.3595
,18.98,20.5,16.1972,28.4,42.7128
,18.98,20.5,15.8465,28.35,42.2187
,18.37,20.5,16.1088,28.3,39.6457
,18.12,20.4,15.9387,28.45,38.8841
,18.06,20.3,16.7049,28.6,33.8008
,17.76,20.3,17.0867,28.6,33.4106
,17.29,20.3,16.9308,28.6,34.6123
,16.95,20.25,16.6811,28.7,33.1272
,16.73,20.2,16.4352,28.8,34.0981
,16.56,20.15,16.3418,28.7,33.7767
,16.15,20.1,16.2399,28.6,33.6922
,16.51,20.05,16.251,28.6,33.6417
,16.71,20,16.3282,28.6,33.423
,17.36,20,16.7589,28.65,33.5824
,18.91,20,17.3771,28.7,35.1537
,18.49,20,17.426,28.75,36.7143
,19.47,20,17.7772,28.8,36.4936
,19.81,20.05,17.59,28.6,35.3697
,20.16,20.1,18.1229,28.4,38.9781
,20.8,20.15,18.4199,28.45,40.3681
,20.91,20.2,17.8681,28.5,39.5776
,21.11,20.25,17.7932,28.35,40.8343
,23.03,20.3,18.5788,28.2,41.344
,24.15,20.4,19.1706,28.2,44.6635
,21.6,20.5,18.1837,28.2,42.0446
,23.73,20.55,18.6052,28,43.065
,25.29,20.6,19.6888,27.8,47.1965
,24.59,20.65,19.2738,27.1,48.6236
,28.17,20.7,20.7088,26.4,51.6653
,26.17,20.85,19.2679,27.25,50.6292
,23.25,21,18.3962,28.1,48.3412
,23,21.05,18.1173,27.55,49.853
,24.17,21.1,18.7565,27,49.3717
,25.51,21.15,18.8658,26.95,43.9454
,25.73,21.2,18.8108,26.9,45.8756
,24.08,21.25,18.3931,26.9,46.0023
,21.07,21.3,16.9133,26.9,44.8054
,20.72,21.25,16.738,26.9,44.7978
,19.22,21.2,16.1595,26.9,42.2154
,18.48,21.15,15.8584,26.75,43.4136
,17.52,21.1,15.4519,26.6,41.266
,16.8,21,15.1766,26.8,40.1477
,16.66,20.9,14.9311,27,38.7869
,16.33,20.75,14.9442,27.45,39.8352
,15.92,20.6,14.6685,27.9,39.2987
,16.12,20.5,14.5243,27.05,35.7812
,15.95,20.4,14.4279,26.2,35.2193
,14.97,20.3,14.2137,26.25,39.1898
,14.79,20.2,14.1962,26.3,36.1223
,13.84,20.05,14.072,26.45,36.629
,14.26,19.9,14.1756,26.6,34.182
,14.41,19.75,14.1382,26.6,34.5928
,14.06,19.6,13.9376,26.6,35.5714
,13.94,19.5,13.8131,26.65,31.6107
,13.07,19.4,13.6539,26.7,31.9401
,14.07,19.3,14.023,26.65,31.8411
,13.26,19.2,13.8036,26.6,31.6713
,12.69,19.15,13.47,26.6,32.8986
,11.97,19.1,13.0647,26.6,36.2941
,13.74,19,14.3792,26.45,32.5087
,14.61,18.9,16.1274,26.3,33.0186
,15.25,18.85,14.7909,26.6,30.6171
,16.17,18.8,14.9258,26.9,30.5834
,16.39,18.9,15.0549,27.15,32.2284
,16.59,19,15.2258,27.4,33.0053
,17.49,19.1,15.6083,27.3,31.7205
,17.96,19.2,16.545,27.2,32.9583
,19.84,19.3,17.0322,27.4,35.8561
,21.58,19.4,17.9438,27.6,37.3038
,21.59,19.6,17.4345,27.5,40.3108
,23.72,19.8,18.3138,27.4,45.4606
,23.05,19.9,17.7674,27.3,44.1713
,21.73,20,17.2659,27.2,42.7149
,23.87,20.1,18.3777,27.05,43.4948
,24.9,20.2,18.0889,26.9,49.0919
,29.15,20.3,19.8717,26.75,52.2294
,29.22,20.4,19.9162,26.6,53.5296
,27.73,20.55,18.8646,26.7,51.0316
,27.63,20.7,19.4252,26.8,48.7303
,23.84,20.8,17.3794,26.5,45.8693
,25.65,20.9,17.7646,26.2,46.3962
,24.59,20.95,17.1479,26.1,43.7823
,24.61,21,17.7289,26,42.5682
,22.96,21,17.058,26.3,41.572
,23.77,21,16.474,26.6,42.2194
,22.58,21,16.3982,26.1,39.8498
,21.25,21,15.8873,25.6,41.7737
,19.26,20.9,15.6647,25.65,39.4232
,17.62,20.8,15.0751,25.7,37.3417
,16.35,20.65,14.5833,25.65,37.8381
,14.96,20.5,14.4981,25.6,39.121
,13.62,20.25,14.1726,25.7,39.4854
,12.07,20,13.3596,25.8,44.8717
,11.19,19.75,12.6975,25.9,46.2195
,11.04,19.5,12.2573,26,41.6284
,10.22,19.25,11.8443,26.5,45.6265
,9.9,19,11.6461,27,41.9355
,9.5,18.8,11.2736,26.55,40.5032
,9.29,18.6,11.1125,26.1,38.7876
,9.09,18.35,10.8717,26.15,37.2768
,8.77,18.1,10.5833,26.2,38.9392
,8.5,17.95,10.457,26.1,43.5798
,8.37,17.8,10.2782,26,40.172
,7.94,17.65,10.0992,25.9,37.2417
,8,17.5,10.0364,25.8,32.9768
,8.12,17.35,10.0444,25.9,34.8076
,9.47,17.2,10.7205,26,33.3289
,11.77,17.1,12.0352,26.5,30.8999
,14.61,17,13.8313,27,31.9704
,14.81,17.05,15.4265,26.95,31.4567
,16.17,17.1,16.1595,26.9,27.0144
,16.52,17.2,17.2767,27.05,27.2341
,17.17,17.3,17.973,27.2,27.5593
,17.74,17.55,19.6225,27.05,27.0176
,18.55,17.8,19.7451,26.9,28.0469
,19.11,18.05,16.4295,26.75,30.768
,19.88,18.3,16.0162,26.6,31.9214
,23.25,18.5,16.8702,26.2,38.9192
,22.6,18.7,16.131,25.8,43.4622
,26.65,18.9,17.0487,25.6,46.1189
,24.72,19.1,16.1217,25.4,49.2849
,28.1,19.35,16.781,25.55,53.3013
,27.4,19.6,16.5712,25.7,51.8077
,29.55,19.75,17.3807,25.1,51.1842
,30.37,19.9,16.4396,24.5,52.3464
,29.81,20.05,17.3842,24.3,53.2699
,32.21,20.2,18.536,24.1,48.5848
,32.04,20.35,16.8877,24.55,46.7205
,31.46,20.5,17.2297,25,47.5956
,29.36,20.55,15.8186,25.15,45.004
,30.12,20.6,16.8371,25.3,42.9902
,25.66,20.65,15.1681,25.3,43.8196
,26.12,20.7,15.3704,25.3,42.5219
,24.91,20.6,15.5888,25.25,40.7316
,22.03,20.5,15.1623,25.2,40.6802
,20.47,20.4,14.987,25.45,39.8607
,17.75,20.3,15.1839,25.7,46.3433
,15.16,20.1,14.4918,25.25,45.4122
,13.81,19.9,14.1121,24.8,45.9323
,13.38,19.65,13.6496,24.35,45.4043
,14.03,19.4,13.5888,23.9,34.6746
,13.83,19.15,13.5252,24.05,35.5838
,13.68,18.9,13.5895,24.2,33.1724
,13.19,18.7,13.502,23.95,32.7077
,13.05,18.5,13.3932,23.7,35.7253
,12.52,18.35,13.0835,23.7,33.6729
,13.17,18.2,13.8509,23.7,35.9567
,12.9,18.1,13.9721,23.75,38.0558
,12.91,18,14.1066,23.8,45.7173
,12.85,17.95,13.7354,23.8,37.8164
,11.69,17.9,12.707,23.8,38.1783
,11.81,17.8,12.6443,23.8,35.5298
,11.54,17.7,12.4279,23.8,34.8023
,11.93,17.55,12.7123,23.8,32.426
,11.93,17.4,12.5279,23.8,34.818
,12.48,17.3,13.1674,23.85,33.2842
,15.59,17.2,15.0613,23.9,32.0136
,15.95,17.2,17.1944,24.1,27.6797
,17.62,17.2,18.4149,24.3,30.4321
,18.36,17.35,19.7956,24.2,29.8926
,19.36,17.5,17.9209,24.1,32.3218
,20.57,17.7,18.5296,23.9,30.0625
,21.31,17.9,18.6474,23.7,30.7312
,22.67,18.2,18.7826,23.65,31.6522
,25.78,18.5,19.4285,23.6,33.9667
,27.37,18.75,19.6415,23.55,38.3414
,28.67,19,19.5705,23.5,41.9156
,28.62,19.25,19.7457,23.3,42.9168
,29.67,19.5,19.6696,23.1,46.4181
,29.2,19.7,19.2074,23,44.5083
,30.4,19.9,20.0857,22.9,44.8677
,28.39,20.05,19.028,22.85,41.9441
,31.25,20.2,19.8847,22.8,42.76
,29,20.3,18.6826,22.7,47.237
,27.43,20.4,18.1164,22.6,40.5773
,29.41,20.45,19.6524,22.6,41.6834
,28.06,20.5,18.7265,22.6,38.9169
,29.03,20.55,18.6855,22.8,40.9007
,28.73,20.6,19.499,23,40.2793
,27.95,20.6,18.8701,22.7,40.1816
,27.94,20.6,18.1251,22.4,40.4242
,25.79,20.6,16.937,22.4,37.3613
,24.59,20.6,16.7835,22.4,39.5637
,23.93,20.5,17.1424,22.35,35.9626
,23.73,20.4,17.3226,22.3,36.3076
,23.01,20.35,18.0617,22.55,35.8894
,22.91,20.3,18.4997,22.8,34.8218
,22.01,20.25,19.4081,22.8,35.9728
,21.65,20.2,20.0998,22.8,39.3368
,20.43,20.2,21.6838,22.55,38.2222
,20.27,20.2,21.5597,22.3,35.482
,19.89,20.15,21.4432,22.3,34.8845
,19.66,20.1,21.3599,22.3,38.0458
,19.59,20.1,21.4509,22.3,35.3798
,19.64,20.1,21.5467,22.3,33.3693
,19.78,20.1,21.7021,22.3,32.648
,19.64,20.1,21.7981,22.3,34.563
,19.85,20.05,22.0842,22.3,33.4156
,19.94,20,22.0268,22.3,32.8797
,19.7,20,21.7648,22.3,32.1584
,19.75,20,21.583,22.3,33.8902
,20.1,20,21.686,22.3,32.4241
,20.2,20,21.7858,22.3,33.9873
,20.33,20,21.9424,22.3,33.6681
,20.52,20,22.209,22.3,33.8089
,21.02,20.05,22.5346,22.4,33.8243
,21.76,20.1,23.1732,22.5,32.3441
,22.42,20.1,23.4149,22.4,32.7174
,23.57,20.1,24.4455,22.3,32.5414
,24.05,20.15,24.567,22.25,34.0771
,25.04,20.2,25.5793,22.2,34.6152
,24.55,20.3,25.1893,22.2,33.9288
,24.88,20.4,24.6587,22.2,34.3977
,27.33,20.45,26.2047,22.15,35.841
,26.49,20.5,25.7784,22.1,36.0948
,29.63,20.65,27.2207,22.05,37.4662
,29.98,20.8,26.6878,22,38.533
,32.09,20.9,27.5496,21.95,41.0384
,31.47,21,26.3097,21.9,42.4265
,33.99,21.2,27.5954,21.8,43.3181
,33.22,21.4,26.1632,21.7,45.0381
,33.62,21.55,26.6281,21.6,41.4415
,33.45,21.7,24.5541,21.5,43.8782
,31.23,21.8,24.4877,21.4,40.5323
,32.15,21.9,23.5085,21.3,39.4557
,31.72,21.95,21.8516,21.25,37.7883
,31.6,22,22.5721,21.2,36.7169
,29.3,21.95,21.4739,21.15,35.5147
,29.46,21.9,22.3451,21.1,33.7321
,26.7,21.8,19.978,21.05,35.0376
,26.82,21.7,20.6595,21,33.207
,25.38,21.65,19.5152,21,33.3889
,24.54,21.6,18.8535,21,32.1401
,23.51,21.5,18.7151,21,31.9629
,23,21.4,18.819,21,31.0806
,22.24,21.3,17.7773,21.4,29.7803
,21.85,21.2,16.5384,21.8,26.4647
,20.87,21.1,15.993,21.4,27.4873
,20.09,21,15.4244,21,27.0169
,19.32,20.9,15.0591,20.95,25.972
,18.34,20.8,14.1213,20.9,25.5165
,17.51,20.65,13.6334,20.95,24.4464
,17.18,20.5,13.2497,21,23.513
,16.63,20.4,13.0468,21,23.2671
,16.36,20.3,12.9238,21,23.0156
,16.21,20.15,12.6761,21,21.884
,16.09,20,12.6864,21,21.5248
,15.83,19.95,12.0443,21,21.7584
,15.48,19.9,11.504,21,21.5336
,15.22,19.8,10.9679,21,20.9188
,14.9,19.7,10.8217,21,20.4824
,13.47,19.6,12.327,21,21.9219
,13.14,19.5,12.5596,21,22.2372
,12.86,19.45,12.6302,21,22.337
,12.8,19.4,12.3285,21,20.5298
,12.65,19.35,12.1668,20.95,20.1416
,12.37,19.3,11.9503,20.9,19.4272
,12.26,19.25,11.6604,20.95,19.5124
,13.46,19.2,12.5008,21,20.6719
,14.4,19.2,13.3414,21,20.1793
,13.37,19.2,13.4333,21,21.2759
,14.88,19.2,12.2759,21,21.7776
,16.06,19.2,13.1043,21,22.3197
,15.76,19.2,13.1551,21,22.5198
,17.61,19.2,13.8129,21,23.7702
,17.61,19.25,14.8892,21.45,24.2881
,18.18,19.3,13.6037,21.9,24.8154
,20.88,19.35,15.2072,21.4,24.7121
,18.52,19.4,13.2743,20.9,24.6345
,19.33,19.45,13.2226,20.85,24.8598
,20.33,19.5,13.7124,20.8,25.5715
,18.3,19.5,12.1021,20.8,24.3299
,18.78,19.5,12.5286,20.8,24.1658
,19.42,19.5,12.5753,20.75,24.3854
,19.43,19.5,12.0853,20.7,24.0996
,20,19.5,12.8513,20.7,24.9783
,19.3,19.5,12.6162,20.7,23.935
,17.68,19.5,12.3862,20.65,24.5989
,16.85,19.5,12.1022,20.6,25.7375
,15.9,19.4,11.8888,20.65,23.8634
