Date,TA,ST1,H2O,SM1,FN2O
,16.76,18.5,18.6701,13.5,1.78937
,16.51,18.5,18.4858,13.55,2.33022
,16.55,18.5,18.6249,13.6,2.16576
,16.24,18.45,18.3236,13.4,2.27149
,16.1,18.4,18.1539,13.2,2.6842
,15.81,18.35,17.8706,13.45,2.4086
,16.16,18.3,18.2827,13.7,2.67312
,16.08,18.3,18.2141,13.6,2.62526
,15.64,18.3,17.6139,13.5,2.04693
,15.01,18.25,16.5988,13.6,2.09865
,14.75,18.2,16.0732,13.7,1.95407
,14.78,18.15,16.2439,14.25,2.20997
,15.08,18.1,16.775,14.8,2.00967
,15.62,18.1,18.0145,14.65,1.96783
,16.28,18.1,19.2922,14.5,1.83667
,16.85,18.1,19.6723,14.05,1.79729
,17.33,18.1,19.4574,13.6,1.87603
,17.79,18.1,19.8845,14,1.86862
,17.98,18.1,19.6001,14.4,1.80185
,17.26,18.1,18.8504,14,1.76905
,17.02,18.1,18.5319,13.6,1.83358
,16.67,18.1,17.1016,13.45,1.92692
,15.23,18.1,16.3675,13.3,1.82396
,13.56,18.05,15.4191,13.8,1.79597
,14.01,18,15.6124,14.3,1.81191
,14.75,17.9,16.4031,14,1.72274
,17.11,17.8,16.9665,13.7,1.81639
,17.33,17.8,16.6449,13.6,1.95114
,17.33,17.8,16.3292,13.5,1.77624
,16.55,17.8,16.2102,13.5,1.91837
,17.13,17.8,17.3053,13.5,2.11992
,22.15,17.8,20.7303,14.05,2.05898
,23.74,17.8,22.3292,14.6,2.01042
,22.38,17.95,25.8297,14.25,1.93724
,25.13,18.1,24.3954,13.9,1.87064
,25.09,18.25,19.8957,13.65,1.91049
,24.2,18.4,13.8638,13.4,2.05686
,23.58,18.45,11.5362,13.35,1.99732
,23,18.5,10.8036,13.3,2.02278
,21.85,18.45,10.1612,13.55,1.88847
,20.64,18.4,9.23783,13.8,1.96978
,18.84,18.3,9.09114,13.6,1.8945
,17.93,18.2,8.43444,13.4,1.80627
,16.91,18.05,8.23316,13.35,1.73339
,15.86,17.9,8.25205,13.3,1.7485
,15.28,17.75,8.37891,13.3,1.69299
,14.56,17.6,8.23518,13.3,1.66641
,14.2,17.45,8.08036,13.3,1.65785
,13.69,17.3,8.05883,13.3,1.60124
,12.64,17.2,8.15303,13.3,1.63028
,11.39,17.1,8.29748,13.3,1.59341
,11.36,17,8.33441,13.35,1.54996
,10.11,16.9,8.40985,13.4,1.59928
,10.42,16.8,8.70978,13.45,1.47667
,8.35,16.7,8.30591,13.5,1.74626
,8.7,16.6,8.41025,13.4,1.62172
,9.97,16.5,9.02437,13.3,1.35125
,9.94,16.35,9.13277,13.35,1.33605
,10,16.2,9.15092,13.4,1.26865
,9.49,16.15,8.8983,13.75,1.35797
,9.52,16.1,9.03928,14.1,1.31257
,10.89,16,9.99776,14.65,1.32548
,12.13,15.9,10.8058,15.2,1.31209
,12.2,15.8,9.2576,14.8,1.30637
,12.59,15.7,9.14362,14.4,1.37703
,12.97,15.7,9.75889,14.35,1.2891
,12.98,15.7,9.82885,14.3,1.36638
,14.13,15.7,10.1779,14.35,1.47719
,14.16,15.7,10.2517,14.4,1.53809
,15.77,15.8,10.5754,14.35,1.35246
,18.06,15.9,11.3501,14.3,1.35315
,20.38,16.1,12.6056,14.1,1.65044
,21.67,16.3,12.7399,13.9,1.82565
,21.34,16.5,12.1352,13.7,1.85846
,23.13,16.7,12.3389,13.5,1.9843
,24.38,16.9,12.9296,13.5,2.10576
,24.63,17.1,11.9187,13.5,2.31659
,21.06,17.3,10.99,13.45,2.16756
,24.31,17.5,10.996,13.4,2.4246
,22.52,17.6,11.0945,13.85,2.23699
,25.51,17.7,11.6691,14.3,2.42453
,25.74,17.8,11.2157,14.5,2.35703
,24.7,17.9,10.4354,14.7,2.23926
,23.84,17.95,9.50033,14.1,2.15228
,23.66,18,9.37057,13.5,2.0419
,22.95,18,8.86067,13.35,2.04505
,22.4,18,8.6018,13.2,2.14982
,21.54,17.95,8.60524,14.2,2.11817
,20.33,17.9,8.51756,15.2,2.17762
,18.49,17.8,8.7647,14.95,2.13757
,15.72,17.7,8.29912,14.7,2.15354
,12.77,17.6,8.41484,14.95,2.43001
,11.31,17.5,8.23953,15.2,2.55222
,9.63,17.3,8.46748,14.5,2.6249
,9.35,17.1,8.41329,13.8,2.41634
,9.97,16.85,8.40975,14,2.07213
,11.66,16.6,8.32984,14.2,1.91053
,10.51,16.45,8.5175,15.05,1.69838
,10.35,16.3,8.49834,15.9,1.68895
,10.57,16.2,8.54338,15.9,1.53653
,10.41,16.1,8.51234,15.9,1.6291
,9.21,16.05,8.33426,15.25,1.66784
,7.83,16,8.12709,14.6,1.73002
,8.81,15.9,8.21738,14.05,1.46041
,8,15.8,8.02956,13.5,1.47328
,8.63,15.7,8.03136,13.45,1.45567
,6.33,15.6,7.69842,13.4,1.57565
,7.18,15.5,7.99186,13.5,1.43757
,6.86,15.4,7.84493,13.6,1.41693
,10.2,15.3,9.32443,13.9,1.28191
,12,15.2,8.63023,14.2,1.28069
,13,15.15,9.19754,13.9,1.34903
,13.78,15.1,9.16615,13.6,1.33042
,14.45,15.15,9.36957,13.5,1.34836
,15.58,15.2,9.82225,13.4,1.33153
,16.89,15.3,9.71837,13.45,1.38888
,17.63,15.4,9.13134,13.5,1.48794
,19.84,15.65,10.0595,13.5,1.39954
,23.38,15.9,10.4253,13.5,1.48818
,24.79,16.2,10.6422,13.4,1.66928
,25.58,16.5,11.2172,13.3,1.91846
,27.05,16.75,10.4618,13.25,1.8707
,27.36,17,10.6405,13.2,1.95266
,28.18,17.25,10.3799,13.4,2.1602
,29.03,17.5,10.8453,13.6,2.16618
,29.49,17.75,9.51676,13.75,2.35813
,30.57,18,10.324,13.9,2.27044
,29.73,18.15,9.05625,14.65,2.43873
,30.09,18.3,9.75728,15.4,2.69606
,29.1,18.4,9.31665,15.45,2.50661
,29.61,18.5,10.5519,15.5,2.72391
,28.93,18.55,9.4602,15.45,2.45246
,29.18,18.6,9.34881,15.4,2.4203
,28.56,18.7,8.92957,14.6,2.3346
,27.36,18.8,8.82401,13.8,2.24888
,25.57,18.75,11.1133,13.25,2.44488
,23.6,18.7,11.0035,12.7,2.49455
,21.67,18.6,10.8421,12.75,2.44927
,20.3,18.5,10.4159,12.8,2.3047
,19.24,18.45,10.3967,12.75,2.23373
,18.2,18.4,10.545,12.7,2.11332
,17.07,18.25,10.5008,12.65,2.10589
,16.41,18.1,10.4303,12.6,1.98458
,16.49,18,10.0343,12.65,1.89702
